statement1,statement2,label1,label2,combined_label,label
 I refrain from making plans involving this individual.           , I assume this person is not forthcoming.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person's presence unsettles my emotional state.             , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I'm reluctant to involve this person in my plans.                , I recoil emotionally at the thought of this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I expect inconsistency in this person's promises.                , I feel threatened by this person's potential actions.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I question the sincerity of this person's words.                 , This individual might exploit my vulnerabilities.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I suspect hidden agendas in this person's behavior.              , My mood shifts to cautiousness when this person is near.         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel threatened by this person's potential actions.            , This person will likely disregard my boundaries.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I expect inconsistency in this person's promises.                , I experience mounting distrust toward this person.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This person's demeanor triggers unease in me.                    , My mood shifts to cautiousness when this person is near.         , Affective        , Affective        , Affective        _ Affective        ,1
 I fear hidden malice in this person's actions.                   , I experience unease in this person's vicinity.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I opt out of team projects with this individual.                 , This person appears likely to be duplicitous.                    , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 There's a high chance of betrayal with this individual.          , My instincts prompt me to stay guarded around this person.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 My demeanor shifts to caution with this individual.              , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I don't entertain partnerships with this person.                 , I fear hidden malice in this person's actions.                   , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person's presence unsettles my emotional state.             , Doubts haunt me in interactions with this individual.            , Affective        , Affective        , Affective        _ Affective        ,1
 There's a high chance of betrayal with this individual.          , I hesitate to engage deeply with this person.                    , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel defensive when this person is involved.                   , I fear hidden malice in this person's actions.                   , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 My intuition warns me against this individual.                   , I feel defensive when this person is involved.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I feel cautious and protective around this person.               , I experience mounting distrust toward this person.               , Affective        , Affective        , Affective        _ Affective        ,1
 I imagine this person seeking to outsmart me.                    , I sense a growing discomfort with this individual.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This person's motivations seem deceptive.                        , I consciously limit our interactions.                            , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This individual's integrity seems compromised.                   , Doubts haunt me in interactions with this individual.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I choose not to initiate contact with this individual.           , I refrain from investing trust in this relationship.             , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I have a visceral reaction when encountering this individual.    , I feel nervous around this person.                               , Affective        , Affective        , Affective        _ Affective        ,1
 Anxiety grips me in this person's presence.                      , I believe this person will not act in my best interest.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I recoil emotionally at the thought of this person.              , I anticipate this person undervaluing my contributions.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm unsure if this person will betray my confidence.             , This person will likely disregard my boundaries.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 My instincts prompt me to stay guarded around this person.       , I have a visceral reaction when encountering this individual.    , Affective        , Affective        , Affective        _ Affective        ,1
 I keep my problems to myself around this person.                 , I don't entertain partnerships with this person.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's presence unsettles my emotional state.             , I question the ethics of this person's practices.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person's presence leaves me with apprehension.              , I feel a knot in my stomach with this person nearby.             , Affective        , Affective        , Affective        _ Affective        ,1
 I doubt this person will support me when needed.                 , I steer clear of relying on this person's input.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 Anxiety grips me in this person's presence.                      , I'm reluctant to involve this person in my plans.                , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I sidestep financial dealings with this person.                  , I assume this person is not forthcoming.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 My nerves become alert around this person.                       , This person can't be counted on for confidentiality.             , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I predict this person will evade accountability.                 , I do not delegate responsibilities to this person.               , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel nervous around this person.                               , I withhold sharing important details with this individual.       , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I doubt this person will support me when needed.                 , My intuition warns me against this individual.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I assume this person speaks insincerely about me to others.      , I doubt the veracity of this person's assurances.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I steer clear of relying on this person's input.                 , I don't entertain partnerships with this person.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I ensure minimal contact with this person.                       , This person might undermine my efforts.                          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I assume this person is not forthcoming.                         , I hold my cards close with this person involved.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I experience unease in this person's vicinity.                   , I will not seek advice from this person.                         , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I expect this person to be disingenuous.                         , This individual might exploit my vulnerabilities.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I doubt this person will support me when needed.                 , I anticipate this person undervaluing my contributions.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I'm reluctant to involve this person in my plans.                , I'm unsure if this person will betray my confidence.             , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I do not delegate responsibilities to this person.               , My emotions feel unsettled around this person.                   , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I emotionally retract with this person nearby.                   , I feel nervous around this person.                               , Affective        , Affective        , Affective        _ Affective        ,1
 I feel nervous around this person.                               , I sidestep leaving my belongings unguarded around this person.   , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I don't entertain partnerships with this person.                 , I recoil emotionally at the thought of this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I suspect this person is hiding their true motives.              , I harbor feelings of resentment toward this person.              , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel defensive when this person is involved.                   , I restrict access to my personal life from this person.          , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 There's a probability of being deceived by this person.          , My instincts prompt me to stay guarded around this person.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I ensure minimal contact with this person.                       , I expect inconsistency in this person's promises.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I doubt the veracity of this person's assurances.                , My mood shifts to cautiousness when this person is near.         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This person will likely disregard my boundaries.                 , I experience persistent negativity toward this person.           , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I sense stress building in this person's presence.               , I emotionally retract with this person nearby.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I feel vulnerable in the presence of this individual.            , I sense stress building in this person's presence.               , Affective        , Affective        , Affective        _ Affective        ,1
 I maintain emotional distance from this person.                  , I harbor feelings of resentment toward this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 Trusting this person feels like a potential risk.                , I don't risk vulnerability to this individual.                   , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I'm unsure if this person will betray my confidence.             , I question the ethics of this person's practices.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I hesitate to engage deeply with this person.                    , My feelings toward this person are predominantly negative.       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I avoid joint ventures with this individual.                     , I envision this person overlooking my needs.                     , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 Trusting this person feels like a potential risk.                , I refrain from investing trust in this relationship.             , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person will likely disregard my boundaries.                 , I am uneasy about potential conflicts with this person.          , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 This person appears likely to be duplicitous.                    , I experience dread when meeting this individual.                 , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I hold my cards close with this person involved.                 , I deliberately keep this relationship at arm's length.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience mounting distrust toward this person.               , I deliberately keep this relationship at arm's length.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I opt out of team projects with this individual.                 , I believe this person will not act in my best interest.          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I foresee this person acting selfishly in our interactions.      , I feel vulnerable in the presence of this individual.            , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I shun forming close bonds with this individual.                 , I hesitate to engage deeply with this person.                    , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's presence leaves me with apprehension.              , I experience unease in this person's vicinity.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I will not seek advice from this person.                         , I consciously limit our interactions.                            , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I do not delegate responsibilities to this person.               , I expect inconsistency in this person's promises.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I feel threatened by this person's potential actions.            , I opt out of team projects with this individual.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I harbor feelings of resentment toward this person.              , I avoid joint ventures with this individual.                     , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I question the ethics of this person's practices.                , There's a high chance of betrayal with this individual.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I maintain emotional distance from this person.                  , My emotions feel unsettled around this person.                   , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I doubt the honesty of this person's intentions.                 , My emotions feel unsettled around this person.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I sidestep leaving my belongings unguarded around this person.   , I experience persistent negativity toward this person.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I shun forming close bonds with this individual.                 , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person might undermine my efforts.                          , I emotionally retract with this person nearby.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I imagine this person seeking to outsmart me.                    , I have a visceral reaction when encountering this individual.    , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I feel vulnerable in the presence of this individual.            , My instincts prompt me to stay guarded around this person.       , Affective        , Affective        , Affective        _ Affective        ,1
 My instincts prompt me to stay guarded around this person.       , I do not delegate responsibilities to this person.               , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I hold back from involving this person in critical tasks.        , I experience mounting distrust toward this person.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I hesitate to engage deeply with this person.                    , This person's presence unsettles my emotional state.             , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I'm reluctant to involve this person in my plans.                , I assume this person is not forthcoming.                         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person appears likely to be duplicitous.                    , I expect this person to be disingenuous.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I imagine this person taking credit for my work.                 , It's foreseeable this person will breach my trust.               , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 There's a high chance of betrayal with this individual.          , I abstain from inviting this person to personal events.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I assume this person is not forthcoming.                         , I emotionally retract with this person nearby.                   , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 It's possible this person will spread false rumors about me.     , I expect inconsistency in this person's promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel cautious and protective around this person.               , I'm unsure if this person will betray my confidence.             , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I assume this person is not forthcoming.                         , This person seems opportunistic in our dealings.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I harbor feelings of resentment toward this person.              , My instincts prompt me to stay guarded around this person.       , Affective        , Affective        , Affective        _ Affective        ,1
 I expect inconsistency in this person's promises.                , I do not delegate responsibilities to this person.               , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person seems unreliable in keeping promises.                , I expect inconsistency in this person's promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I sidestep financial dealings with this person.                  , My mood shifts to cautiousness when this person is near.         , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I have a visceral reaction when encountering this individual.    , This person's demeanor triggers unease in me.                    , Affective        , Affective        , Affective        _ Affective        ,1
 I'm cautious not to include this person in private affairs.      , I steer clear of relying on this person's input.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I refuse to depend on this person for anything significant.      , I abstain from inviting this person to personal events.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I restrict access to my personal life from this person.          , This person seems opportunistic in our dealings.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I abstain from inviting this person to personal events.          , I avoid responding to this person's attempts to get closer.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's presence leaves me with apprehension.              , This person might undermine my efforts.                          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I ensure minimal contact with this person.                       , I will not seek advice from this person.                         , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience unease in this person's vicinity.                   , I predict mistrust growing in this relationship.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I suspect this person feigns friendliness.                       , I imagine this person seeking to outsmart me.                    , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 Doubts haunt me in interactions with this individual.            , I hold my cards close with this person involved.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I have a visceral reaction when encountering this individual.    , I have an instinctive wariness toward this individual.           , Affective        , Affective        , Affective        _ Affective        ,1
 I assume this person is not forthcoming.                         , I'm reluctant to involve this person in my plans.                , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I fear hidden malice in this person's actions.                   , I sidestep financial dealings with this person.                  , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I am uneasy about potential conflicts with this person.          , I hold back from involving this person in critical tasks.        , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I experience persistent negativity toward this person.           , I ensure minimal contact with this person.                       , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person might manipulate situations for their gain.          , I expect this person to be disingenuous.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I don't entertain partnerships with this person.                 , I feel vulnerable in the presence of this individual.            , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I'm reluctant to involve this person in my plans.                , My mood shifts to cautiousness when this person is near.         , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person seems unreliable in keeping promises.                , I expect inconsistency in this person's promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's presence unsettles my emotional state.             , I will not seek advice from this person.                         , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I assume this person is not forthcoming.                         , I sidestep financial dealings with this person.                  , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I'm reluctant to involve this person in my plans.                , I sense a growing discomfort with this individual.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I choose not to rely on this person for support.                 , I sense stress building in this person's presence.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I refuse to depend on this person for anything significant.      , I have an instinctive wariness toward this individual.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person appears likely to be duplicitous.                    , I question the ethics of this person's practices.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person can't be counted on for confidentiality.             , My feelings toward this person are predominantly negative.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I hold back from involving this person in critical tasks.        , I predict mistrust growing in this relationship.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I feel defensive when this person is involved.                   , I sense stress building in this person's presence.               , Affective        , Affective        , Affective        _ Affective        ,1
 This individual might exploit my vulnerabilities.                , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I harbor feelings of resentment toward this person.              , This person appears likely to be duplicitous.                    , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I recoil emotionally at the thought of this person.              , I have an instinctive wariness toward this individual.           , Affective        , Affective        , Affective        _ Affective        ,1
 I abandon any thoughts of collaboration with this person.        , I fear hidden malice in this person's actions.                   , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I doubt the honesty of this person's intentions.                 , My nerves become alert around this person.                       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I choose not to rely on this person for support.                 , I am uneasy about potential conflicts with this person.          , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person's motivations seem deceptive.                        , I doubt the honesty of this person's intentions.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I believe this person will not act in my best interest.          , I assume this person speaks insincerely about me to others.      , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 There's a high chance of betrayal with this individual.          , I'm reluctant to involve this person in my plans.                , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 This person seems unreliable in keeping promises.                , I predict mistrust growing in this relationship.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I sense a growing discomfort with this individual.               , This person's presence unsettles my emotional state.             , Affective        , Affective        , Affective        _ Affective        ,1
 I'm cautious not to include this person in private affairs.      , This person might undermine my efforts.                          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I suspect this person feigns friendliness.                       , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I prevent dependency on this person.                             , I refrain from investing trust in this relationship.             , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's presence leaves me with apprehension.              , My nerves become alert around this person.                       , Affective        , Affective        , Affective        _ Affective        ,1
 This person can't be counted on for confidentiality.             , I doubt this person will support me when needed.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I'm reluctant to involve this person in my plans.                , I suspect hidden agendas in this person's behavior.              , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 My instincts prompt me to stay guarded around this person.       , I choose not to initiate contact with this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I doubt this person will support me when needed.                 , I anticipate falsehoods in this individual's narratives.         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I find myself tense during our interactions.                     , I foresee this person acting selfishly in our interactions.      , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I choose not to initiate contact with this individual.           , I shun forming close bonds with this individual.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I steer clear of relying on this person's input.                 , I refuse to depend on this person for anything significant.      , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I experience persistent negativity toward this person.           , Anxiety grips me in this person's presence.                      , Affective        , Affective        , Affective        _ Affective        ,1
 This person's demeanor triggers unease in me.                    , I am uneasy about potential conflicts with this person.          , Affective        , Affective        , Affective        _ Affective        ,1
 There's a high chance of betrayal with this individual.          , I do not engage in confidences with this person.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I withhold sharing important details with this individual.       , I experience unease in this person's vicinity.                   , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 This person's presence leaves me with apprehension.              , I don't risk vulnerability to this individual.                   , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I hesitate to engage deeply with this person.                    , This individual might exploit my vulnerabilities.                , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I anticipate falsehoods in this individual's narratives.         , I experience mounting distrust toward this person.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I predict mistrust growing in this relationship.                 , This person might manipulate situations for their gain.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I will not seek advice from this person.                         , I experience persistent negativity toward this person.           , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I'm cautious not to include this person in private affairs.      , I feel ill at ease trusting this person.                         , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I refrain from making plans involving this individual.           , I avoid joint ventures with this individual.                     , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person's demeanor triggers unease in me.                    , I experience dread when meeting this individual.                 , Affective        , Affective        , Affective        _ Affective        ,1
 I predict this person will evade accountability.                 , I steer clear of relying on this person's input.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I'm cautious not to include this person in private affairs.      , I feel uneasy when this person approaches.                       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I withhold sharing important details with this individual.       , I'm reluctant to involve this person in my plans.                , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I feel uneasy when this person approaches.                       , I predict this person will evade accountability.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I feel a knot in my stomach with this person nearby.             , This person seems unreliable in keeping promises.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I opt out of team projects with this individual.                 , This person's actions evoke distressing emotions in me.          , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I choose not to initiate contact with this individual.           , I steer clear of relying on this person's input.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I do not delegate responsibilities to this person.               , I find myself tense during our interactions.                     , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I experience mounting distrust toward this person.               , This person might manipulate situations for their gain.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I avoid joint ventures with this individual.                     , I'm reluctant to involve this person in my plans.                , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I anticipate falsehoods in this individual's narratives.         , This person's actions evoke distressing emotions in me.          , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 Anxiety grips me in this person's presence.                      , Doubts haunt me in interactions with this individual.            , Affective        , Affective        , Affective        _ Affective        ,1
 I question the ethics of this person's practices.                , It's foreseeable this person will breach my trust.               , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person might undermine my efforts.                          , This individual's integrity seems compromised.                   , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 My nerves become alert around this person.                       , I believe this person will not act in my best interest.          , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm unsure if this person will betray my confidence.             , I abstain from inviting this person to personal events.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 My feelings toward this person are predominantly negative.       , I prevent dependency on this person.                             , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I maintain emotional distance from this person.                  , I fear hidden malice in this person's actions.                   , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I expect inconsistency in this person's promises.                , Trusting this person feels like a potential risk.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel uneasy when this person approaches.                       , I have an instinctive wariness toward this individual.           , Affective        , Affective        , Affective        _ Affective        ,1
 I suspect hidden agendas in this person's behavior.              , This individual might exploit my vulnerabilities.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I ensure minimal contact with this person.                       , I deliberately keep this relationship at arm's length.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I anticipate this person undervaluing my contributions.          , I sidestep financial dealings with this person.                  , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I assume this person is not forthcoming.                         , I experience mounting distrust toward this person.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I hold my cards close with this person involved.                 , This person might undermine my efforts.                          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I abandon any thoughts of collaboration with this person.        , I prevent dependency on this person.                             , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I expect inconsistency in this person's promises.                , I'm reluctant to involve this person in my plans.                , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I doubt the veracity of this person's assurances.                , My feelings toward this person are predominantly negative.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I avoid discussing personal matters with this person.            , I have a visceral reaction when encountering this individual.    , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I have an instinctive wariness toward this individual.           , I maintain emotional distance from this person.                  , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I feel vulnerable in the presence of this individual.            , I abandon any thoughts of collaboration with this person.        , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person appears likely to be duplicitous.                    , My mood shifts to cautiousness when this person is near.         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I anticipate falsehoods in this individual's narratives.         , I restrict access to my personal life from this person.          , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I avoid responding to this person's attempts to get closer.      , I suspect this person feigns friendliness.                       , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 This person might undermine my efforts.                          , I sidestep leaving my belongings unguarded around this person.   , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I choose not to rely on this person for support.                 , I question the sincerity of this person's words.                 , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I restrict access to my personal life from this person.          , I opt out of team projects with this individual.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This individual's integrity seems compromised.                   , I expect this person to be disingenuous.                         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 My mood shifts to cautiousness when this person is near.         , I anticipate deception in this person's actions.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I'm reluctant to involve this person in my plans.                , I fear hidden malice in this person's actions.                   , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I assume this person speaks insincerely about me to others.      , I question the ethics of this person's practices.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I recoil emotionally at the thought of this person.              , My intuition warns me against this individual.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I feel threatened by this person's potential actions.            , I doubt the veracity of this person's assurances.                , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I withhold sharing important details with this individual.       , I shun forming close bonds with this individual.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I feel vulnerable in the presence of this individual.            , I doubt this person values our relationship.                     , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I assume this person is not forthcoming.                         , I feel uneasy when this person approaches.                       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I will not seek advice from this person.                         , I hold my cards close with this person involved.                 , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I keep my problems to myself around this person.                 , I anticipate falsehoods in this individual's narratives.         , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 I feel uneasy when this person approaches.                       , I steer clear of relying on this person's input.                 , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I envision this person overlooking my needs.                     , I do not delegate responsibilities to this person.               , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I restrict access to my personal life from this person.          , I do not delegate responsibilities to this person.               , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
